"","PIG_DATE","PIG","DATE","OUA","WEANING_TIME","STALD","STI","GROUP","Newlytreated","BIRTHSOW","WEEK","SAMPLEWEEK","Florkem","Metacam","Zactran","Antibiotic","Treatment_group","Treatment_date","CorrectedGroup","RWA"
"10-2018-04-25","10-2018-04-25",10,"2018-04-25",1,2,"Farrow","Farrow","Untreated","Untreated",8107,"UT","Week 02",0,0,0,"0","0","0","Untreated","UUU"
"10-2018-05-07","10-2018-05-07",10,"2018-05-07",1,2,"Farrow","Farrow","Untreated","Untreated",8107,"UT","Week 04",0,0,0,"0","0","0","Untreated","UUU"
"10-2018-05-15","10-2018-05-15",10,"2018-05-15",0,2,"8","1","2018-05-15","Newlytreated",8107,"T05","Week 05",0,0,0,"0","0","0","2018-05-15","TTT"
"10-2018-05-24","10-2018-05-24",10,"2018-05-24",0,2,"1","9","2018-05-15","Treated",8107,"T05","Week 06",0,0,0,"0","0","0","2018-05-15","TTT"
"10-2018-05-29","10-2018-05-29",10,"2018-05-29",0,2,"1","9","2018-05-15","Treated",8107,"T05","Week 07",0,0,0,"0","0","0","2018-05-15","TTT"
"10-2018-06-07","10-2018-06-07",10,"2018-06-07",0,2,"1","9","2018-05-15","Treated",8107,"T05","Week 08",0,0,0,"0","0","0","2018-05-15","TTT"
"10-2018-07-05","10-2018-07-05",10,"2018-07-05",0,2,"2","1","2018-05-15","Treated",8107,"T05","Week 14",0,0,0,"0","0","0","2018-05-15","TTT"
"102-2018-04-25","102-2018-04-25",102,"2018-04-25",0,2,"Farrow","Farrow","2018-04-20","Treated",7886,"T01","Week 02",0,0,0,"Florkem_early","0","0","2018-04-20","TTT"
"102-2018-05-07","102-2018-05-07",102,"2018-05-07",0,2,"Farrow","Farrow","2018-04-20","Treated",7886,"T01","Week 04",0,0,0,"Florkem_early","0","0","2018-04-20","TTT"
"102-2018-05-15","102-2018-05-15",102,"2018-05-15",0,2,NA,NA,"2018-04-20","Treated",7886,"T01","Week 05",0,0,0,"Florkem_early","0","0","2018-04-20","TTT"
